County,CDC-White-Crude,CDC-Black-Crude,CDC-Other-Crude,CDC-White,CDC-Black,CDC-Other
adams,0,0,0,0.0,0.0,0.0
allen,168,30,0,11.2,2.0,0.0
bartholomew,46,0,0,13.9,0.0,0.0
benton,0,0,0,0.0,0.0,0.0
blackford,11,0,0,23.0,0.0,0.0
boone,50,0,0,18.8,0.0,0.0
carroll,0,0,0,0.0,0.0,0.0
cass,0,0,0,0.0,0.0,0.0
clark,15,0,0,9.9,0.0,0.0
clay,116,0,0,24.8,0.0,0.0
clinton,0,0,0,0.0,0.0,0.0
crawford,16,0,0,12.4,0.0,0.0
daviess,0,0,0,0.0,0.0,0.0
dekalb,0,0,0,0.0,0.0,0.0
dearborn,42,0,0,21.2,0.0,0.0
decatur,15,0,0,14.1,0.0,0.0
delaware,14,0,0,8.1,0.0,0.0
desoto,59,0,0,12.8,0.0,0.0
dubois,0,0,0,0.0,0.0,0.0
elkhart,65,0,0,7.9,0.0,0.0
fayette,51,0,0,55.0,0.0,0.0
floyd,91,0,0,29.3,0.0,0.0
fountain,10,0,0,15.2,0.0,0.0
franklin,25,0,0,27.5,0.0,0.0
fulton,0,0,0,0.0,0.0,0.0
gibson,0,0,0,0.0,0.0,0.0
grant,41,0,0,15.5,0.0,0.0
greene,0,0,0,0.0,0.0,0.0
hamilton,112,0,0,8.6,0.0,0.0
hancock,40,0,0,13.2,0.0,0.0
harrison,29,0,0,18.1,0.0,0.0
hendricks,72,0,0,10.9,0.0,0.0
henry,14,0,0,7.2,0.0,0.0
howard,63,0,0,19.1,0.0,0.0
huntington,13,0,0,8.9,0.0,0.0
jackson,37,0,0,21.0,0.0,0.0
jasper,14,0,0,10.5,0.0,0.0
jay,31,0,0,37.3,0.0,0.0
jefferson,0,0,0,0.0,0.0,0.0
jennings,15,0,0,13.5,0.0,0.0
johnson,64,0,0,10.3,0.0,0.0
knox,0,0,0,0.0,0.0,0.0
kosciusko,37,0,0,11.7,0.0,0.0
la porte,0,0,0,0.0,0.0,0.0
lagrange,317,75,0,16.3,3.9,0.0
lake,51,0,0,11.6,0.0,0.0
lawrence,17,0,0,9.3,0.0,0.0
madison,94,0,0,18.1,0.0,0.0
marion,740,215,0,19.4,5.6,0.0
marshall,16,0,0,8.6,0.0,0.0
martin,0,0,0,0.0,0.0,0.0
miami,12,0,0,8.4,0.0,0.0
monroe,64,0,0,10.9,0.0,0.0
montgomery,30,0,0,19.6,0.0,0.0
morgan,59,0,0,21.1,0.0,0.0
newton,10,0,0,17.8,0.0,0.0
noble,0,0,0,0.0,0.0,0.0
ohio,0,0,0,0.0,0.0,0.0
orange,0,0,0,0.0,0.0,0.0
owen,0,0,0,0.0,0.0,0.0
parke,0,0,0,0.0,0.0,0.0
perry,0,0,0,0.0,0.0,0.0
pike,0,0,0,0.0,0.0,0.0
porter,114,0,0,16.9,0.0,0.0
posey,0,0,0,0.0,0.0,0.0
pulaski,0,0,0,0.0,0.0,0.0
putnam,0,0,0,0.0,0.0,0.0
randolph,40,0,0,40.2,0.0,0.0
ripley,24,0,0,21.0,0.0,0.0
rush,12,0,0,18.0,0.0,0.0
scott,155,19,0,14.3,1.8,0.0
shelby,35,0,0,36.7,0.0,0.0
spencer,22,0,0,12.4,0.0,0.0
st joseph,0,0,0,0.0,0.0,0.0
starke,36,0,0,39.2,0.0,0.0
steuben,0,0,0,0.0,0.0,0.0
sullivan,0,0,0,0.0,0.0,0.0
switzerland,0,0,0,0.0,0.0,0.0
tippecanoe,93,0,0,12.1,0.0,0.0
tipton,0,0,0,0.0,0.0,0.0
union,10,0,0,35.1,0.0,0.0
vanderburgh,107,19,0,14.7,2.6,0.0
vermillion,0,0,0,0.0,0.0,0.0
vigo,35,0,0,8.1,0.0,0.0
wabash,21,0,0,16.7,0.0,0.0
warren,0,0,0,0.0,0.0,0.0
warrick,13,0,0,5.2,0.0,0.0
washington,19,0,0,17.0,0.0,0.0
wayne,145,11,0,54.8,4.2,0.0
wells,14,0,0,12.5,0.0,0.0
white,12,0,0,12.4,0.0,0.0
whitley,0,0,0,0.0,0.0,0.0