County,White-Crude,Black-Crude,Other-Crude,White,Black,Other,Under 15,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,Over 65,Population,,,,,,,
adams,14,0,0,39.1,0.0,0.0,0,0,2,0,0,0,0,"35,809",,,,,,,
allen,12,4,0,3.1,1.0,0.0,1,33,126,55,21,15,3,"385,410",,,,,,,
bartholomew,4,0,0,4.9,0.0,0.0,0,0,0,0,0,0,0,"82,208",,,,,,,
benton,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"8,719",,,,,,,
blackford,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"12,112",,,,,,,
boone,16,0,0,22.6,0.0,0.0,0,0,0,0,0,0,0,"70,812",,,,,,,
carroll,4,0,0,25.8,0.0,0.0,0,0,0,0,0,0,0,"15,475",,,,,,,
cass,18,0,0,88.6,0.0,0.0,0,1,18,7,3,2,0,"20,306",,,,,,,
clark,0,0,0,0.0,0.0,0.0,0,23,66,22,12,5,0,"37,870",,,,,,,
clay,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"121,093",,,,,,,
clinton,1,0,0,3.8,0.0,0.0,0,0,1,0,0,0,0,"26,466",,,,,,,
crawford,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,"33,190",,,,,,,
daviess,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"10,526",,,,,,,
dekalb,1,0,0,3.0,0.0,0.0,0,1,1,0,0,0,0,"33,381",,,,,,,
dearborn,4,0,0,7.9,0.0,0.0,0,0,0,0,0,0,0,"50,679",,,,,,,
decatur,1,0,0,3.8,0.0,0.0,0,1,0,0,0,0,0,"26,472",,,,,,,
delaware,7,0,0,16.2,0.0,0.0,0,0,21,8,3,2,0,"43,265",,,,,,,
desoto,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"111,903",,,,,,,
dubois,3,0,0,6.9,0.0,0.0,0,1,0,0,0,0,0,"43,637",,,,,,,
elkhart,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"207,047",,,,,,,
fayette,26,1,0,111.1,4.3,0.0,0,11,44,28,13,7,0,"23,398",,,,,,,
floyd,0,0,0,0.0,0.0,0.0,0,9,21,8,2,0,0,"80,484",,,,,,,
fountain,2,0,0,12.1,0.0,0.0,0,0,0,0,0,0,0,"16,479",,,,,,,
franklin,1,0,0,4.4,0.0,0.0,0,1,0,1,0,0,0,"22,785",,,,,,,
fulton,0,0,0,0.0,0.0,0.0,0,5,7,0,0,0,0,"20,480",,,,,,,
gibson,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"33,011",,,,,,,
grant,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"66,674",,,,,,,
greene,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"30,803",,,,,,,
hamilton,34,0,0,9.8,0.0,0.0,0,3,7,5,0,0,0,"347,467",,,,,,,
hancock,12,0,0,15.0,0.0,0.0,0,1,5,3,0,0,0,"79,840",,,,,,,
harrison,2,0,0,5.0,0.0,0.0,0,1,0,2,0,0,0,"39,654",,,,,,,
hendricks,24,0,0,13.7,0.0,0.0,0,4,10,1,0,1,0,"174,788",,,,,,,
henry,0,2,0,0.0,4.1,0.0,0,0,0,0,1,0,0,"48,914",,,,,,,
howard,6,0,0,7.2,0.0,0.0,0,0,2,0,0,0,1,"83,658",,,,,,,
huntington,86,0,0,234.6,0.0,0.0,0,31,44,33,15,2,1,"36,662",,,,,,,
jackson,0,0,0,0.0,0.0,0.0,0,17,28,8,0,1,0,"46,428",,,,,,,
jasper,20,0,0,60.8,0.0,0.0,0,3,3,1,0,1,1,"32,918",,,,,,,
jay,25,0,0,122.1,0.0,0.0,0,3,9,0,1,0,0,"20,478",,,,,,,
jefferson,0,2,0,0.0,6.0,0.0,0,0,2,0,0,0,0,"33,147",,,,,,,
jennings,0,0,0,0.0,0.0,0.0,0,3,6,0,0,0,0,"27,613",,,,,,,
johnson,30,0,0,18.5,0.0,0.0,0,0,0,0,0,0,0,"161,765",,,,,,,
knox,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"36,282",,,,,,,
kosciusko,3,0,0,3.7,0.0,0.0,0,1,1,0,1,0,0,"80,240",,,,,,,
la porte,52,7,0,128.6,17.3,0.0,0,6,19,14,9,8,7,"40,446",,,,,,,
lagrange,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"498,700",,,,,,,
lake,5,1,0,4.4,0.9,0.0,0,5,10,3,3,2,0,"112,417",,,,,,,
lawrence,6,0,0,13.3,0.0,0.0,0,1,1,0,0,0,0,"45,011",,,,,,,
madison,0,0,0,0.0,0.0,0.0,0,0,3,1,0,0,0,"130,129",,,,,,,
marion,203,28,0,20.8,2.9,0.0,0,16,40,14,8,1,2,"977,203",,,,,,,
marshall,2,0,0,4.3,0.0,0.0,0,0,2,2,0,0,0,"46,095",,,,,,,
martin,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"9,812",,,,,,,
miami,20,0,0,55.6,0.0,0.0,0,10,23,5,2,0,0,"35,962",,,,,,,
monroe,24,4,0,17.2,2.9,0.0,0,0,1,2,0,1,0,"139,718",,,,,,,
montgomery,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"37,936",,,,,,,
morgan,8,0,0,11.1,0.0,0.0,0,0,2,0,0,0,0,"71,780",,,,,,,
newton,2,0,0,14.5,0.0,0.0,0,0,0,0,0,0,0,"13,830",,,,,,,
noble,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"47,457",,,,,,,
ohio,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"5,940",,,,,,,
orange,8,0,0,40.3,0.0,0.0,0,0,0,0,0,0,0,"19,867",,,,,,,
owen,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,"21,321",,,,,,,
parke,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,5,"16,156",,,,,,,
perry,1,0,0,5.2,0.0,0.0,0,0,1,0,0,0,0,"19,170",,,,,,,
pike,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"12,250",,,,,,,
porter,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"173,215",,,,,,,
posey,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"25,222",,,,,,,
pulaski,4,0,0,32.0,0.0,0.0,0,3,9,0,0,0,0,"12,514",,,,,,,
putnam,2,0,0,5.4,0.0,0.0,0,1,2,2,1,1,0,"36,726",,,,,,,
randolph,0,0,0,0.0,0.0,0.0,0,13,20,9,8,0,0,"24,502",,,,,,,
ripley,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,0,"28,995",,,,,,,
rush,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"16,752",,,,,,,
scott,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"272,912",,,,,,,
shelby,30,0,0,123.0,0.0,0.0,0,0,0,0,0,0,0,"24,384",,,,,,,
spencer,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"45,055",,,,,,,
st joseph,13,0,0,65.6,0.0,0.0,0,14,42,15,5,4,2,"19,810",,,,,,,
starke,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"23,371",,,,,,,
steuben,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"34,435",,,,,,,
sullivan,6,0,0,28.8,0.0,0.0,0,0,2,2,0,0,0,"20,817",,,,,,,
switzerland,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"9,737",,,,,,,
tippecanoe,34,2,0,18.3,1.1,0.0,0,0,7,4,2,0,0,"186,251",,,,,,,
tipton,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"15,359",,,,,,,
union,0,0,0,0.0,0.0,0.0,0,0,2,0,2,0,0,"7,087",,,,,,,
vanderburgh,8,0,0,4.4,0.0,0.0,0,23,57,25,15,16,4,"180,136",,,,,,,
vermillion,2,0,0,13.0,0.0,0.0,1,1,5,5,1,3,0,"15,439",,,,,,,
vigo,12,0,0,11.3,0.0,0.0,0,1,7,4,0,0,0,"106,153",,,,,,,
wabash,7,0,0,22.6,0.0,0.0,0,0,10,6,1,0,0,"30,976",,,,,,,
warren,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"8,440",,,,,,,
warrick,9,0,0,14.1,0.0,0.0,1,3,5,3,6,1,0,"63,898",,,,,,,
washington,0,0,0,0.0,0.0,0.0,0,14,13,14,0,0,0,"28,182",,,,,,,
wayne,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"66,553",,,,,,,
wells,1,1,0,3.5,3.5,0.0,0,2,4,1,0,0,0,"28,180",,,,,,,
white,8,0,0,32.4,0.0,0.0,0,0,0,0,0,0,0,"24,688",,,,,,,
whitley,0,0,0,0.0,0.0,0.0,0,4,6,1,0,0,0,"34,191",,,,,,,